Store,Dept,IsHoliday,Size,Week,Type,Year,Month,CPI,Unemployment,MarkDown1,MarkDown5,Actual,Forecast,Date
0,0,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,22764.01,25268.79,2012-10-12
0,1,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,42112.67,46909.996,2012-10-12
0,2,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,10487.17,9723.682,2012-10-12
0,3,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,35446.18,31279.27,2012-10-12
0,4,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,20920.03,22243.832,2012-10-12
0,5,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,3788.59,2465.2302,2012-10-12
0,6,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,20212.71,20603.104,2012-10-12
0,7,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,37248.47,35102.02,2012-10-12
0,8,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,37126.23,25931.723,2012-10-12
0,9,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,27803.78,28793.016,2012-10-12
0,10,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,21857.09,19724.541,2012-10-12
0,11,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,8983.82,9998.666,2012-10-12
0,12,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,38015.36,36216.965,2012-10-12
0,13,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,11450.64,13776.4375,2012-10-12
0,14,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,10525.66,8906.256,2012-10-12
0,15,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,7908.36,8028.135,2012-10-12
0,16,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,8171.79,9095.688,2012-10-12
0,17,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,1415.68,1601.9766,2012-10-12
0,18,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,3126.49,3961.7986,2012-10-12
0,19,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,7020.8,5816.0957,2012-10-12
0,20,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,8966.16,7399.271,2012-10-12
0,21,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,21024.28,17854.87,2012-10-12
0,22,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,7733.2,4625.583,2012-10-12
0,23,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,10485.04,8628.732,2012-10-12
0,24,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,12773.34,7297.851,2012-10-12
0,25,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,1536.58,1162.5953,2012-10-12
0,26,0,0.6302673385765398,41,0,2012,10,0.9644711924485911,0.2581943645773433,0.026703274900959365,0.10206026919408819,596.37,484.8772,2012-10-12
